variable,n,mean,sd,min,median,max,moran_i,expected_i,variance_i,moran_test_statistic,moran_test_p_value,mc_observed_i,mc_p_value,nsim
malaria_cases,280,2262.582142857143,4353.482336246437,0,0,22896,-0.10480033506048379,-0.003968253968253968,0.003180227380691913,-1.788008769739907,0.0737745929601416,-0.10480033506048379,0.016000000000000014,999
malaria_deaths,280,25.607142857142858,70.76298937751712,0,0,679,-0.031957839287625786,-0.003968253968253968,0.0028282718279537145,-0.5263030543502945,0.5986776611978046,-0.031957839287625786,0.56,999
scd_cases,280,235,596.372859722523,0,0,4585,-0.06263017705507062,-0.003968253968253968,0.0029519194301227563,-1.0797023492578517,0.28027474744045167,-0.06263017705507062,0.12,999
scd_deaths,280,3.1964285714285716,8.141710041282074,0,0,74,-0.06331729594340936,-0.003968253968253968,0.0028189755356424315,-1.1178101773611304,0.26364807390057493,-0.06331729594340936,0.09399999999999997,999
log_malaria_cases,280,3.4482834987895847,4.033736561383393,0,0,10.038761176593697,-0.1435911771152145,-0.003968253968253968,0.003279111657734794,-2.438252193407397,0.014758473681473157,-0.1435911771152145,0.0040000000000000036,999
log_malaria_deaths,280,1.3495303919102333,1.8360702803727462,0,0,6.522092798170152,-0.08701966055316147,-0.003968253968253968,0.0032629710684494097,-1.4539195646266303,0.14596860789943794,-0.08701966055316147,0.09799999999999998,999
log_scd_cases,280,2.208525870332466,2.8324005433900252,0,0,8.43076346341785,-0.08447381004270024,-0.003968253968253968,0.0032719103638913956,-1.4074246576197698,0.15930150379574393,-0.08447381004270024,0.132,999
log_scd_deaths,280,0.6635929158472389,1.0545282535998421,0,0,4.31748811353631,-0.09257079291236289,-0.003968253968253968,0.003249479839201112,-1.5543157349250754,0.12010912203531807,-0.09257079291236289,0.06999999999999995,999
