catchment_id,facility_name,facility_class,ownership_class,region,tpopn,log_tpopn,z_log_tpopn,catchment_population,malaria_cases,scd_cases,expected_malaria_cases,expected_scd_cases,shared_mean,shared_sd,malaria_spatial_mean,malaria_spatial_sd,scd_spatial_mean,scd_spatial_sd,exceed_prob_rr_gt1,hotspot_080,hotspot_090,robust_hotspot_005_adj,robust_hotspot_010_adj,hotspot_class_005_adj,hotspot_class_010_adj,rr_malaria_adj,rr_scd_adj
HF0281,Lubaga HOSPITAL,General hospital,PNFP,GREATER KAMPALA,29169,10.280861780477768,2.2452182271351613,94308,1030,383,8522.701763645586,885.1987631828356,3.576143448211773,1.4480509255186156,0.004654560316939176,0.1527573338309514,-0.0023383717671444358,0.14805491418679317,0.993237271139012,1,1,0,0,Not hotspot,Not hotspot,1.419312954897516e-5,4.888879234420386e-4
HF0282,Mengo HOSPITAL,General hospital,PNFP,GREATER KAMPALA,15492,9.648079040634643,1.4175493536743464,46581,1861,724,4209.568338342188,437.2210585297076,4.915050985424771,1.4530328947462885,0.005577951178965602,0.15037869765614997,-0.0026357312593013227,0.1458844342201329,0.9996410040589478,1,1,0,0,Not hotspot,Not hotspot,1.0507036386689154e-4,0.0037858643786768042
HF0283,Namungoona Orthodox Hospital HC III,General hospital,PNFP,GREATER KAMPALA,66252,11.101220932072044,3.3182338011718917,102942,0,0,9302.964382164864,966.2396729817985,-3.495209891123248,1.9330305247778754,0.0030218756575453036,0.15135086908120546,-0.004199170245063139,0.1510304066845778,0.03529154893923747,0,0,0,0,Not hotspot,Not hotspot,1.5032770691344992e-8,9.601106250506662e-7
HF0290,Bbaale HC IV,HC IV,Government,CENTRAL II,5794,8.664578178329295,0.13114724518160675,7616,0,0,688.2650107299994,71.48570408025275,-2.2755920985923823,2.6307810125044986,0.0015748565059123263,0.19337443303651464,-0.002385272908582283,0.19068008727418204,0.19352288661835415,0,0,0,0,Not hotspot,Not hotspot,3.0000301149896376e-6,6.242777349762155e-5
HF0298,Kangulumira HC IV,HC IV,Government,CENTRAL II,16699,9.723104116372433,1.5156808544365243,25610,4109,71,2314.39954369686,240.38194347364401,4.400563162745093,1.4750378067758811,0.0035902863102593844,0.14314432238221506,-0.0011454486242607077,0.1380692919815642,0.998574470055055,1,1,0,1,Bayesian hotspot only,Robust hotspot,7.67098964669633e-4,0.0012331302181801784
HF0304,Kayunga Hospital,General hospital,Government,CENTRAL II,9139,9.120306249272202,0.7272316756376234,45037,11399,1041,4070.035620830749,422.72868364789167,5.840457136305266,1.4795889182490138,0.0037235928805888358,0.15132873630968313,-5.62535418672736e-4,0.1449985120303928,0.9999604897051464,1,1,0,0,Not hotspot,Not hotspot,6.881715858731498e-4,0.005832551003875186
HF0316,Bukomero HC IV,HC IV,Government,CENTRAL II,7040,8.859363449152088,0.38592300867450646,15892,0,0,1436.1748359402773,149.1663352472921,-3.779876916242839,2.703064273671579,0.01985314193274935,0.1802460441283493,-0.02144615769925366,0.17357737717711255,0.08100138620697928,0,0,0,0,Not hotspot,Not hotspot,5.177556018686187e-7,7.349586216707548e-6
HF0327,Kiboga HOSPITAL,General hospital,Government,CENTRAL II,3475,8.1533497579988925,-0.5375306818442088,25071,3771,65,2265.6896118712993,235.32275301943494,4.207371256039411,1.550839946225726,0.03604868541862457,0.2437796064264964,-0.034702942500588106,0.23670993977067006,0.9966657715196973,1,1,0,0,Not hotspot,Not hotspot,7.34638632631725e-4,0.0011896970340292028
HF0354,Ntwetwe HC IV,HC IV,Government,CENTRAL II,4677,8.450412157725886,-0.14897820364203584,22487,0,0,2032.1711260879067,211.06867484934918,-4.21567173707944,3.0510854443465445,0.03676557166705071,0.2669383437687439,-0.03980206443800884,0.26040496190067847,0.08353257268119862,0,0,0,0,Not hotspot,Not hotspot,1.6398234020358089e-6,1.0881581240644153e-5
HF0362,Bombo General Military HOSPITAL,General hospital,Government,CENTRAL II,4280,8.361708288575842,-0.26500132947703103,28783,6308,148,2601.1465078573497,270.1645247560287,4.608081005477177,1.5226879861505873,0.016378753673350007,0.1789196899562526,-0.014132153978251513,0.17370817192669094,0.9987620875859216,1,1,0,0,Not hotspot,Not hotspot,9.323466918605243e-4,0.002041698397811604
HF0376,Kalagala HC IV,HC IV,Government,CENTRAL II,8853,9.08851166361105,0.6856449077955614,11582,0,0,1046.6761231978537,108.71158411994318,-2.741444349817281,2.438119792522448,0.006566145011330572,0.1559804957987403,-0.007526638417543763,0.15489315383242558,0.13041973333835333,0,0,0,0,Not hotspot,Not hotspot,9.904922917030797e-7,1.6606384516303926e-5
HF0401,Luwero HC IV,HC IV,Government,CENTRAL II,8120,9.002085433155724,0.5726008939589042,29137,0,0,2633.137817442226,273.48725837530515,-4.0516460739421065,2.8137011432015084,0.012511485091680508,0.23361048866479056,-0.014285996478861456,0.23143078829958694,0.07493790125382571,0,0,0,0,Not hotspot,Not hotspot,4.0419386006317425e-7,4.8650795060311515e-6
HF0402,Bishop Asili Ceaser HC IV,HC IV,PNFP,CENTRAL II,9480,9.156939595249067,0.7751474582382818,14744,0,0,1332.4290071170053,138.39091661754813,-4.677699137284927,3.6794142778686854,0.008391434815778115,0.202027356861807,-0.010353213768636942,0.201689586357074,0.10180808298669086,0,0,0,0,Not hotspot,Not hotspot,1.6647991284350217e-6,2.2276881693248578e-5
HF0411,Nyimbwa HC IV,HC IV,Government,CENTRAL II,3462,8.149601735736155,-0.5424330301046479,33798,0,0,3054.356726976434,317.23658436244517,-3.430311940609229,2.3089003758300106,0.011573485327760962,0.20449322520843063,-0.013005588144895953,0.2017406066137882,0.06868046867101196,0,0,0,0,Not hotspot,Not hotspot,1.292495382990124e-7,1.3911338241125948e-6
HF0429,Kiwangala HC IV,HC IV,Government,CENTRAL I,9402,9.148677711584076,0.7643410573757004,24780,0,0,2239.3916709413584,232.59135334935175,-3.7945002835685266,2.7220674772123945,-0.0057048297038162655,0.16245523423917682,0.004039069731989058,0.16303255912800124,0.08166222917383215,0,0,0,0,Not hotspot,Not hotspot,3.0423890810961285e-6,1.939524419935404e-5
HF0438,Kyazanga HC IV,HC IV,Government,CENTRAL I,3679,8.210396255104774,-0.4629148508147215,38773,0,0,3503.9521088542892,363.93319384238964,-4.2252523575635115,2.616704836466134,0.006655383247466793,0.17409678672921264,-0.00905754189090969,0.17550285235376506,0.05318539383687526,0,0,0,0,Not hotspot,Not hotspot,6.043520307642542e-7,3.427306363807194e-6
HF0446,Lwengo HC IV,HC IV,Government,CENTRAL I,10517,9.260748274520028,0.9109274143239224,27853,0,0,2517.1015419987757,261.43530931555665,-4.431670339633623,2.9804771308439975,-0.0024148446563038227,0.1673649056341757,2.7536839676558817e-4,0.16195600822292924,0.06852066115764521,0,0,0,0,Not hotspot,Not hotspot,3.4882804522262115e-6,2.1116961918000144e-5
