catchment_id,area_index,catchment_population,malaria_cases,scd_cases,expected_malaria_cases,expected_scd_cases,shared_mean,shared_sd,malaria_spatial_mean,malaria_spatial_sd,scd_spatial_mean,scd_spatial_sd,exceed_prob_rr_gt1,hotspot_080,hotspot_090,robust_hotspot_005,robust_hotspot_010,hotspot_class_005,hotspot_class_010,rr_malaria,rr_scd
HF0550,46,29277,2697,226,2645.7897477865276,274.8013338179569,4.360054325131891,1.479126037372486,0.022348029771384777,0.17856495042781556,-0.02006885565516877,0.17160223705244043,0.9983993828501562,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,3.853221136167184e-4,0.002996809196364184
HF0560,47,10014,2444,0,904.9745033416773,93.99393916224409,1.7980018196225709,1.617273266335679,0.023516539056731667,0.17229727598498035,-0.022651295792827025,0.16587849843596428,0.8668769417832294,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,0.002983868906337564,1.272440159573379e-4
HF0583,48,44464,0,0,4018.253077350144,417.35036058618147,-2.7498627765295707,1.9522969987079306,0.008454882576711691,0.1566262521569207,-0.009428980014960217,0.15380101569071017,0.07948755844821798,0,0,0,0,Not hotspot,Not hotspot,6.984357574606594e-8,5.620543412378142e-6
HF0588,49,27583,1071,157,2492.7013906204797,258.90102096187127,4.567021676971993,1.57523094025883,-0.020744040113025233,0.31725685090245415,0.023935457144510102,0.3135531396444515,0.9981298438253987,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,1.7244709952231676e-4,0.002349048687545663
HF0608,50,45130,0,0,4078.4401174166064,423.60160519193886,-3.827671783780247,2.2560134078152547,0.02591737250259178,0.1895581702642878,-0.028278350382524842,0.1841087498433857,0.044881147231626284,0,0,0,0,Not hotspot,Not hotspot,8.627932813215202e-8,6.9777628200648045e-6
HF0615,51,28603,0,0,2584.879740271819,268.4749991869051,-4.913211419746137,3.1747939395171243,0.034210627881142326,0.24195466884704583,-0.03759057641599341,0.23625082448288157,0.06086309783551391,0,0,0,0,Not hotspot,Not hotspot,1.2229601448116668e-6,7.044094254883535e-5
HF0650,52,42103,285,0,3804.8873091866026,395.18941687117666,-0.5367955881493447,1.7313982554430796,0.0447521554606538,0.2645303001370927,-0.04678659337335778,0.25870292672427525,0.3782668343284087,0,0,0,0,Not hotspot,Not hotspot,1.9682448378225352e-5,6.69583010080861e-6
HF0678,53,45197,0,0,4084.494969795665,424.2304841537793,-3.1544299281296055,2.0237509512483896,0.002795275057810405,0.14075242405650074,-0.0038373181129860053,0.14048748301114747,0.05953315561764794,0,0,0,0,Not hotspot,Not hotspot,7.056488085423327e-8,5.64148467989966e-6
HF0680,54,49954,2040,2021,4514.389488708823,468.8808904444519,4.9177116915246835,1.4605910897807246,0.0030342626711693764,0.13160213677342178,-1.4545665677246914e-4,0.1251324552826852,0.999619953625159,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,1.0012730684642746e-4,0.009192630968442046
HF0698,55,15464,0,0,1397.496077459127,145.1490188940426,-2.338850795327859,2.217424036954292,0.003945099047043579,0.15961297438554564,-0.004612859103530726,0.15991826015557387,0.1457674876963908,0,0,0,0,Not hotspot,Not hotspot,6.721064148528006e-7,5.7570347259667215e-5
HF0715,56,11149,2628,711,1007.5455100615499,104.64733650088469,6.333203879762849,1.5543742846018347,0.01398343112407192,0.21481508261432747,-0.010654698370533441,0.21074876065549158,0.9999769373424955,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.002589286565954514,0.06494571771187431
HF0718,57,14181,9051,173,1281.550172946707,133.1064560874559,5.455269008407729,1.5321883202613074,0.01710661655795761,0.21188992036129037,-0.014419264544361095,0.2066311179642798,0.999814885084816,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.005511049538643226,0.009790384966940222
HF0720,58,376,0,0,33.97947006755249,3.5292311888360075,-2.153981254815471,5.965450078219952,-8.573217058920566e-4,0.2121160343264068,-1.8013100707909877e-4,0.20601418639893018,0.35902129175038344,0,0,0,0,Not hotspot,Not hotspot,131.7412125545376,1538.3265919527526
HF0724,59,24745,0,0,2236.228688355283,232.26283448868884,-2.3397216378096113,1.9904339137225617,0.016516990382845407,0.17266879600974777,-0.017560151166968588,0.16704946801991355,0.11990072611823022,0,0,0,0,Not hotspot,Not hotspot,2.2980797435651196e-7,1.8507292170990974e-5
HF0732,60,5972,0,0,539.695200115488,56.05470388225701,-4.212134411514361,4.7986016081560745,-0.0015973234777762234,0.21221855581033713,-4.379373201880379e-4,0.2061018925280601,0.19003054814435139,0,0,0,0,Not hotspot,Not hotspot,0.0037789950230228495,0.1360527412612017
HF0741,61,3728,1539,13,336.90283088254176,34.99195178718254,-0.9371112318151887,1.123947979497223,0.010346439793329493,0.215881248064044,-0.0112878227767334,0.21574435161682345,0.20220602271027288,0,0,0,0,Not hotspot,Not hotspot,0.01355157538828695,0.009963265748637477
HF0752,62,7103,5466,304,641.9047231112377,66.67055620825043,0.9371112698795648,1.1239479794366207,-0.010346421256817484,0.21588124810008721,0.01128784405597405,0.21574435163148428,0.7977939868463585,0,0,0,0,Not hotspot,Not hotspot,0.013264101692674168,0.06815710950092785
HF0773,63,46103,0,0,4166.371033309501,432.7344295183682,-5.984522073357881,4.143813616455353,0.003566182694612518,0.2742596186712447,-0.00675585722781555,0.27887823606582185,0.07434046502548275,0,0,0,0,Not hotspot,Not hotspot,7.255368706132436e-6,3.140325881476254e-4
HF0777,64,33538,444,149,3030.8602849084455,314.7961585403777,3.992345848406446,1.5299956042969232,-0.004674466613489117,0.16935295484297355,0.006867121292367709,0.17201489928075242,0.9954647286046815,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4.839910133015334e-5,0.0015073615199947008
HF0854,65,20865,1587,86,1885.5894759560713,195.844172220913,3.9913206679072806,1.5013761398099836,-0.002495168148302873,0.13512223888465943,0.0045370946807884414,0.13791557683857725,0.9960748513346174,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4.4644127683785034e-4,0.0022524989535613682
HF0859,66,5596,0,0,505.7157300479355,52.525472693421,-4.205059375452033,4.56413840960971,-0.012804942353592783,0.3292166352623134,0.011149821014964876,0.33142611826840224,0.17844012583465085,0,0,0,0,Not hotspot,Not hotspot,0.0024754163135981434,0.06898075553148042
HF0860,67,19756,0,0,1785.3681134429976,185.43481746447915,-4.1930315891251215,3.1664522924722553,-0.010308221610416826,0.24737520367216892,0.008582358734753,0.2484620783585281,0.09271750470861206,0,0,0,0,Not hotspot,Not hotspot,1.972149835633904e-6,1.5974062395906688e-4
HF0873,68,14170,0,0,1280.5560927053693,133.00320730267612,-3.165582826513121,2.61270931911562,0.005859765619092187,0.16775712482728844,-0.006979155827493661,0.16753086253677654,0.11283099251537798,0,0,0,0,Not hotspot,Not hotspot,1.3220411406466734e-6,1.125268258425765e-4
HF0883,69,30893,2279,9,2791.8291723321786,289.96951892742226,2.617983003396908,1.509189736691341,0.012846196530902802,0.16250495894184572,-0.011392589390355942,0.15781605134613477,0.9586025267278736,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,2.9240179429002196e-4,1.1623278934961109e-4
