catchment_id,area_index,cases_local_ib,cases_p_value,cases_quadrant,cases_cluster_005,cases_cluster_010,cases_hotspot_005,cases_hotspot_010,deaths_local_ib,deaths_p_value,deaths_quadrant,deaths_cluster_005,deaths_cluster_010,deaths_hotspot_005,deaths_hotspot_010
HF1166,91,-0.779462142426142,0.35,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-1.0563159862284466,0.327,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1180,92,-0.24880311311781242,0.147,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,0.030953937518306083,0.937,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1207,93,0.12897674515389226,0.618,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.06428894715340493,0.717,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1209,94,0.1313006504719804,0.659,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.08280839695068204,0.711,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1234,95,0.008924878979041592,0.483,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.00993939866884348,0.537,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1246,96,0.14698701136907538,0.621,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.08280839695068204,0.712,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1249,97,0.14698701136907538,0.601,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.08280839695068204,0.672,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1250,98,0.04147396428600344,0.765,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0.06799283711286035,0.754,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1269,99,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1276,100,-0.3464328633488426,0.457,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.07430472609935611,0.558,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1281,101,0.2047941561565181,0.46,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.593,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1312,102,-0.024674491664169535,0.769,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,0.04417326026063023,0.538,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1313,103,5.094716986438244e-4,0.975,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.020074729352876308,0.785,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1322,104,0.10631866830253281,0.711,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.038361717437216926,0.833,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1340,105,0.14466310605098726,0.626,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.08280839695068204,0.669,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1354,106,-0.09607261114000391,0.491,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.0033684809165041465,0.624,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1375,107,-1.8676022048606804,0.725,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.47376693360949457,0.824,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1390,108,-0.25228897109494464,0.122,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.1023861010220893,0.713,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1405,109,0.2047941561565181,0.466,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.596,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1408,110,-0.12042602519108998,0.661,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.05119803183346472,0.687,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1419,111,-0.8716823604066266,0.016,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-0.2801728190759498,0.061,Low-High,Not significant,Low-High,Not hotspot,Not hotspot
HF1421,112,0.47617759491920614,0.017,High-High,High-High,High-High,Hotspot,Hotspot,-0.023814042049541122,0.103,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1431,113,0.04033118498390063,0.496,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.04775317063985286,0.564,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1438,114,0.17080704087947893,0.828,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.09762395678850376,0.869,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1475,115,0.13681992560243977,0.883,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.008730597761573516,1,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1483,116,0.11503331324536337,0.772,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.05793942150862418,0.815,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1492,117,0.20370482553866429,0.254,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.307,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1515,118,-0.03376924915346841,0.902,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,0.08651228691013749,0.631,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
