catchment_id,area_index,catchment_population,malaria_cases,scd_cases,expected_malaria_cases,expected_scd_cases,cases_cluster_005,cases_cluster_010,shared_mean,shared_sd,exceed_prob_rr_gt1,hotspot_080,hotspot_090,robust_hotspot_005,robust_hotspot_010,hotspot_class_005,hotspot_class_010,rr_malaria,rr_scd
HF0002,1,20563,2943,720,1858.2974547847923,193.00952376605005,Not significant,Not significant,6.828271626851587,0.5590587231373322,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,8.524789159827249e-4,0.01932750607452939
HF0007,2,9446,2628,711,853.6438145162257,88.66254736634289,Not significant,Not significant,7.593941462526852,0.5701092495634017,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.0036075809778366675,0.09043966700670124
HF0008,3,20547,8130,26,1856.8515198883008,192.85934371546128,Not significant,Not significant,3.6921166696193364,0.5935474925170009,0.9999999997520923,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.002357804337177846,7.38277967820184e-4
HF0019,4,17421,623,15,1574.3519894862552,163.51791633168108,Not significant,Not significant,3.2139028344924707,0.6004176291191458,0.9999999566931789,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,2.513956146478343e-4,5.920390711760909e-4
HF0022,5,26312,3772,199,2377.839937280429,246.97109319322612,Not significant,Not significant,5.346468871775357,0.5482922483721038,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,6.671856673165936e-4,0.0032711830225894646
HF0039,6,30712,0,0,2775.4720338156176,288.27060710513683,Low-High,Low-High,-4.57883488768384,3.0018886878790165,0.06358989856000985,0,0,0,0,Not hotspot,Not hotspot,5.848858038424121e-7,1.2605352091799207e-5
HF0052,7,36720,2092,100,3318.420587448212,344.6632161012186,Not significant,Not significant,4.323833518742607,0.5508505932819635,0.9999999999999979,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,1.9000485352322691e-4,8.466990506977876e-4
HF0083,8,8716,0,0,787.6730348637966,81.81058255823042,Not significant,Not significant,-3.8463918121890903,3.459682046343458,0.13311721520455633,0,0,0,0,Not hotspot,Not hotspot,2.482875440145058e-5,4.0584950768201243e-4
HF0092,9,16039,0,0,1449.4593628017938,150.5461144620764,Not significant,Not significant,-4.067751865227193,3.1175248876286883,0.09598018503439154,0,0,0,0,Not hotspot,Not hotspot,2.811183184637135e-6,5.686334814007372e-5
HF0093,10,10903,2290,369,985.3142610279916,102.33831822308241,Not significant,Not significant,6.809453129606814,0.55866987230965,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.002359499377874622,0.03524567204131942
HF0103,11,17771,0,0,1605.981815347009,166.80310493831033,Not significant,Not significant,-4.119812625491933,3.077173934041835,0.09031301907808109,0,0,0,0,Not hotspot,Not hotspot,2.0808267638295246e-6,4.304615242565077e-5
HF0118,12,35945,2628,711,3248.3831158994,337.3888699008252,Not significant,Not significant,6.249937381457202,0.5533810811974403,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,2.491349906377625e-4,0.006245926062133401
HF0202,13,21561,23,9,1948.4876439534555,202.37700442152433,Not significant,Not significant,2.3028720388005084,0.6447789286962831,0.9998225750694416,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,6.31032363935626e-6,2.194833237237037e-4
HF0203,14,7544,1382,17,681.7583036957873,70.8098938526033,Not significant,Not significant,4.2141613984543795,0.5946747533887075,0.9999999999993122,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.002973131883355007,0.0035925914961550016
HF0204,15,25095,11550,601,2267.858514216037,235.5480230953181,Not significant,Not significant,6.506164620915639,0.5542957781502039,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.0022457587775633714,0.0108412409200553
HF0216,16,37804,3525,2191,3416.3826766855173,354.8379145286075,Not significant,Not significant,7.299369985218605,0.5697132600042758,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,3.021107059456117e-4,0.017398856852970022
HF0252,17,28974,3771,273,2618.407355684218,271.95729910993214,Not significant,Not significant,5.555392612278282,0.5477812325618724,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,5.500903171102805e-4,0.003696861685445342
HF0253,18,5788,74,0,523.0669488058346,54.3276333004862,Not significant,Low-High,1.2355910328782336,1.108441929937469,0.8675125904489575,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,2.697309179841515e-4,3.8014002462126407e-4
HF0262,19,13670,151,2,1235.3706271900069,128.31008072177718,Not significant,Not significant,1.6482591762925536,0.8018667302255974,0.9800859625151351,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,9.89282048295449e-5,1.8095142197762867e-4
HF0263,20,10779,299,373,974.1082655801818,101.17442283101947,Not significant,Not significant,6.751989767319119,0.5705075793860556,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,3.165350822940076e-4,0.03638847189548023
HF0264,21,8264,0,0,746.825374037909,77.56799612909778,Not significant,Not significant,-3.4994879207298903,3.187462777687758,0.13612596032931612,0,0,0,0,Not hotspot,Not hotspot,1.2819123895183618e-5,2.4175814601003814e-4
HF0281,22,94308,1030,383,8522.701763645586,885.1987631828356,Not significant,Not significant,4.645325272358337,0.5481641454129814,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,1.4193559723026469e-5,4.88685550498116e-4
HF0282,23,46581,1861,724,4209.568338342188,437.2210585297076,Not significant,Not significant,5.993505660104849,0.5530412820280111,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,1.0507544777755586e-4,0.0037866894920586948
HF0283,24,102942,0,0,9302.964382164864,966.2396729817985,Not significant,Not significant,-5.516143649966311,2.8039556901121636,0.024575927928982444,0,0,0,0,Not hotspot,Not hotspot,3.4148910936788636e-8,8.384961781978036e-7
HF0290,25,7616,0,0,688.2650107299994,71.48570408025275,Not significant,Not significant,-3.4953482753394374,3.2555388681264805,0.14148710596276193,0,0,0,0,Not hotspot,Not hotspot,1.7854936986462305e-5,3.270073699641068e-4
HF0298,26,25610,4109,71,2314.39954369686,240.38194347364401,Not significant,High-High,4.385742745721343,0.5584411523264349,0.999999999999998,1,1,0,1,Bayesian hotspot only,Robust hotspot,7.671123480665422e-4,0.0012444069608218442
HF0304,27,45037,11399,1041,4070.035620830749,422.72868364789167,Not significant,Not significant,6.448369542460671,0.5525300985879781,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,6.881614652490825e-4,0.005827215747739982
HF0316,28,15892,0,0,1436.1748359402773,149.1663352472921,Not significant,Not significant,-4.122188076729857,3.1584362219751405,0.09592331100572182,0,0,0,0,Not hotspot,Not hotspot,3.1897207240918784e-6,6.18707035442468e-5
HF0327,29,25071,3771,65,2265.6896118712993,235.32275301943494,Not significant,Not significant,4.316867754591229,0.5593080765746212,0.9999999999999941,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,7.346068970057268e-4,0.001189882040768456
