area_index,shared_mean,shared_sd,shared_q025,shared_q50,shared_q975,exceed_prob_rr_gt1,hotspot_080,hotspot_090
1,6.828271626851587,0.5590587231373322,5.711767021543036,6.8286648543043755,7.932398290671572,1,1,1
2,7.593941462526852,0.5701092495634017,6.460900926155579,7.59291586384749,8.721804260735144,1,1,1
3,3.6921166696193364,0.5935474925170009,2.589262643012023,3.6674059913328603,4.95282329722945,0.9999999997520923,1,1
4,3.2139028344924707,0.6004176291191458,2.050246461124406,3.2058387454236676,4.427838094265319,0.9999999566931789,1,1
5,5.346468871775357,0.5482922483721038,4.280251806703723,5.338497932908827,6.459304907922379,1,1,1
6,-4.57883488768384,3.0018886878790165,-10.478869804650259,-4.575683031661599,1.3035183645766164,0.06358989856000985,0,0
7,4.323833518742607,0.5508505932819635,3.2499207205493477,4.316881485122052,5.439298640623611,0.9999999999999979,1,1
8,-3.8463918121890903,3.459682046343458,-10.653412319980301,-3.841024703114146,2.9298883205309068,0.13311721520455633,0,0
9,-4.067751865227193,3.1175248876286883,-10.193994494562585,-4.064834374731862,2.042080177445123,0.09598018503439154,0,0
10,6.809453129606814,0.55866987230965,5.704252751381024,6.806932117917491,7.9216834745722124,1,1,1
11,-4.119812625491933,3.077173934041835,-10.168729469637256,-4.116336051044086,1.9096205663560335,0.09031301907808109,0,0
12,6.249937381457202,0.5533810811974403,5.136556548434375,6.252522912909437,7.337585001040912,1,1,1
13,2.3028720388005084,0.6447789286962831,0.9985760617430703,2.3127072634530985,3.5462947753009297,0.9998225750694416,1,1
14,4.2141613984543795,0.5946747533887075,3.080903240356559,4.199502307898019,5.439191591051772,0.9999999999993122,1,1
15,6.506164620915639,0.5542957781502039,5.434995355574118,6.496080802892305,7.634835425196648,1,1,1
16,7.299369985218605,0.5697132600042758,6.141675769241748,7.305174057373653,8.407446160191338,1,1,1
17,5.555392612278282,0.5477812325618724,4.483533148890899,5.549380533903502,6.660426783158772,1,1,1
18,1.2355910328782336,1.108441929937469,-0.9497040625819972,1.238984462112079,3.401806145794094,0.8675125904489575,1,0
19,1.6482591762925536,0.8018667302255974,0.07557581036535632,1.6471264099795224,3.228830829470294,0.9800859625151351,1,1
20,6.751989767319119,0.5705075793860556,5.566072687107959,6.764737398479656,7.842798223496626,1,1,1
21,-3.4994879207298903,3.187462777687758,-9.768769333179566,-3.4949491740356513,2.7444722131347676,0.13612596032931612,0,0
22,4.645325272358337,0.5481641454129814,3.5221317494726865,4.653547479538983,5.707470030743837,1,1,1
23,5.993505660104849,0.5530412820280111,4.8682716735853875,5.999456152356379,7.070792222656963,1,1,1
24,-5.516143649966311,2.8039556901121636,-11.02945738951611,-5.512437646013023,-0.023571941711495015,0.024575927928982444,0,0
25,-3.4953482753394374,3.2555388681264805,-9.892882932128282,-3.4923644774823024,2.885420199203694,0.14148710596276193,0,0
26,4.385742745721343,0.5584411523264349,3.3215301799315133,4.371088416498683,5.54227603223974,0.999999999999998,1,1
27,6.448369542460671,0.5525300985879781,5.36637739362412,6.442558705842051,7.559998922427443,1,1,1
28,-4.122188076729857,3.1584362219751405,-10.327684354585687,-4.119603113712428,2.0687167830798385,0.09592331100572182,0,0
29,4.316867754591229,0.5593080765746212,3.2494760738185233,4.302723959837576,5.473287681542122,0.9999999999999941,1,1
30,-4.543384261774665,3.2277328407392964,-10.889799034419475,-4.539389843703858,1.7802497287805465,0.07962351091438569,0,0
31,4.991053324238935,0.5512920020913203,3.93685407025954,4.977536291159835,6.129233992996513,1,1,1
32,-3.8142042387889443,3.166313899544711,-10.037199903437863,-3.8110419258491888,2.3910456986086035,0.11417506556227064,0,0
33,-4.575191985068793,3.0435944142637745,-10.555457485920662,-4.572518779948537,1.3899920787038758,0.0663911613149083,0,0
34,-4.03211286394424,3.1508088044372013,-10.222998375469235,-4.029415330302827,2.1435692278167746,0.10032405729585014,0,0
