area_index,shared_mean,shared_sd,shared_q025,shared_q50,shared_q975,exceed_prob_rr_gt1,hotspot_080,hotspot_090
1,6.240170521435839,1.5230291619330707,3.2668679212598803,6.233873567868955,9.24913175755591,0.999979092035941,1,1
2,6.90714422599927,1.5290134417114059,3.9236708311539155,6.9003000065035955,9.929322988058022,0.9999968696172667,1,1
3,4.31078801057761,1.5071014643034955,1.3636304500633862,4.306423187029408,7.2826711068296595,0.9978839116622791,1,1
4,3.5075588294742603,1.4976735687804101,0.5788775886507604,3.503173767149944,6.461167763295115,0.990409768323873,1,1
5,4.440115550349678,1.4598367909919503,1.5781301284577758,4.438453948341081,7.311531146968867,0.9988230459590901,1,1
6,-3.210342736514154,2.4037115064048087,-7.937435295824912,-3.206723094480255,1.4961641450467105,0.09084372243707528,0,0
7,4.1550841374647405,1.5396828524663229,1.1411272803390027,4.151503506926887,7.1893560185627186,0.9965190613844463,1,1
8,-5.3485536334421555,5.568175743268945,-16.291000856571294,-5.344153622358341,5.568809918103139,0.1683873233906379,0,0
9,-4.657185254791476,3.673249420017572,-11.88261095195064,-4.651703800398383,2.536982840025246,0.10242303973509614,0,0
10,6.176240398405231,1.541439083169429,3.163332126372996,6.171080829566379,9.21832513728907,0.9999692267243,1,1
11,-3.351785361464025,2.6783340248394905,-8.617563630606387,-3.3482626416242596,1.8939414567715454,0.10538624484967007,0,0
12,4.86315923745896,1.4371675212976238,2.0475737330573542,4.860878172095284,7.6916820645240715,0.9996426147213245,1,1
13,1.8529157417899742,1.396556030856418,-0.8833065424772568,1.850881055410409,4.6007453247560575,0.9077084521518622,1,1
14,4.310532330587694,1.4203603058756173,1.5330630594011665,4.30654646995796,7.110651544457055,0.9987965880486076,1,1
15,5.700223377037303,1.4427695372492737,2.8777429499941496,5.696520956530976,8.54370874426553,0.9999610694058968,1,1
16,5.6782047367307555,1.4824474585482035,2.7747472908997954,5.675458493784021,8.597163586182557,0.9999360040233733,1,1
17,4.7425406838483,1.434951714380615,1.932915234997544,4.739704988747239,7.568271564220445,0.9995251478349017,1,1
18,1.6179465511054243,1.7016623155978168,-1.7264242959999896,1.619128638876324,4.955682521250924,0.8291479420191904,1,0
19,1.8896262373919868,1.4857821227948287,-1.0230597164118131,1.8880365049742298,4.8113840773227885,0.8982789261129791,1,0
20,5.19113079920057,1.499444626941341,2.254513811807164,5.188258077918381,8.143986228819747,0.9997319469614824,1,1
21,-0.9349431766727291,1.9391086684749703,-4.747635818590945,-0.9324002275351859,2.8633307614080237,0.3148493425669505,0,0
22,3.576143448211773,1.4480509255186156,0.7383232916308446,3.57412121852518,6.425464334464911,0.993237271139012,1,1
23,4.915050985424771,1.4530328947462885,2.0716024118736156,4.9115710571463085,7.7782346864983944,0.9996410040589478,1,1
24,-3.495209891123248,1.9330305247778754,-7.301399052468993,-3.490706086087612,0.2853811407726705,0.03529154893923747,0,0
25,-2.2755920985923823,2.6307810125044986,-7.445404629519986,-2.2729799323908835,2.8793631503275132,0.19352288661835415,0,0
26,4.400563162745093,1.4750378067758811,1.514423235360598,4.396883008721852,7.307587660735562,0.998574470055055,1,1
27,5.840457136305266,1.4795889182490138,2.947985312006174,5.835843991568531,8.75906634685348,0.9999604897051464,1,1
28,-3.779876916242839,2.703064273671579,-9.097332724451833,-3.7755513134537555,1.5129674692275015,0.08100138620697928,0,0
29,4.207371256039411,1.550839946225726,1.168346497270468,4.204901120997838,7.260354285463398,0.9966657715196973,1,1
30,-4.21567173707944,3.0510854443465445,-10.211782286077488,-4.212579353622519,1.7628204692565523,0.08353257268119862,0,0
31,4.608081005477177,1.5226879861505873,1.6240234213251603,4.605791535788451,7.605085685469332,0.9987620875859216,1,1
32,-2.741444349817281,2.438119792522448,-7.53526296307966,-2.7381775383490075,2.0338033724142885,0.13041973333835333,0,0
33,-4.0516460739421065,2.8137011432015084,-9.582736417406927,-4.048249793246952,1.4601093701746368,0.07493790125382571,0,0
34,-4.677699137284927,3.6794142778686854,-11.915065395994562,-4.672450194155541,2.5298111476390215,0.10180808298669086,0,0
35,-3.430311940609229,2.3089003758300106,-7.97109128507288,-3.4268082554322308,1.090541610678966,0.06868046867101196,0,0
36,-3.7945002835685266,2.7220674772123945,-9.146528897618435,-3.7908288001595034,1.5366184472872826,0.08166222917383215,0,0
37,-4.2252523575635115,2.616704836466134,-9.370839747799979,-4.221482839732755,0.8988582682072535,0.05318539383687526,0,0
38,-4.431670339633623,2.9804771308439975,-10.29292832215875,-4.427376723230397,1.4051147453259194,0.06852066115764521,0,0
39,4.9079472154586545,1.5633304062289337,1.8532051575246493,4.902389798342826,7.994187122002991,0.9991535803327819,1,1
40,6.972955260936298,1.5317085746387864,3.982322114344697,6.966734974196772,9.998726390619538,0.9999973481737132,1,1
41,2.513943065094557,1.6839020182990263,-0.7959528498066235,2.5151606810691227,5.8168620205464725,0.9322718731828501,1,1
42,-2.8993832574081226,2.8078512471412154,-8.418164103043173,-2.8963116192081646,2.601912433756236,0.15089589259503922,0,0
43,6.274105659814789,1.5411205904207206,3.2657424185369464,6.2675907961939,9.319377311185796,0.999976607406385,1,1
44,-3.0070537828543378,2.4489717814961005,-7.822926755863376,-3.003566150405918,1.7889782170030943,0.10974521875400867,0,0
45,-3.1529482474479624,2.5865820876246772,-8.237254715697624,-3.1499651174076204,1.9143750501471288,0.1114290897213932,0,0
46,4.360054325131891,1.479126037372486,1.4592099424127665,4.358687066179396,7.268642584637988,0.9983993828501562,1,1
47,1.7980018196225709,1.617273266335679,-1.3900929447416848,1.8026236181178676,4.9597310126356575,0.8668769417832294,1,0
48,-2.7498627765295707,1.9522969987079306,-6.59260088854448,-2.745806204526886,1.069834189166765,0.07948755844821798,0,0
49,4.567021676971993,1.57523094025883,1.4839266675902962,4.563085038313377,7.672453627507492,0.9981298438253987,1,1
50,-3.827671783780247,2.2560134078152547,-8.265530245441045,-3.8238996331939337,0.5887273214056181,0.044881147231626284,0,0
51,-4.913211419746137,3.1747939395171243,-11.154343891842487,-4.909524948805511,1.3069090228056641,0.06086309783551391,0,0
52,-0.5367955881493447,1.7313982554430796,-3.9593065977113198,-0.5287053875738194,2.83968244138546,0.3782668343284087,0,0
53,-3.1544299281296055,2.0237509512483896,-7.1388841667839955,-3.1498549205579276,0.8040288226882595,0.05953315561764794,0,0
54,4.9177116915246835,1.4605910897807246,2.0528060698626933,4.916548366401986,7.789172830370082,0.999619953625159,1,1
55,-2.338850795327859,2.217424036954292,-6.69991934620688,-2.3354500693420746,2.002894633603882,0.1457674876963908,0,0
