pairing,x_var,y_var,observed_c,mean_perm,sd_perm,z_score,p_value_lower,p_value_two_sided,nsim
cases,malaria_cases,scd_cases,1.0502774030822237,1.0008775947857607,0.0911682876241627,0.5418529796250164,0.713,0.556,999
deaths,malaria_deaths,scd_deaths,0.7726121261409055,0.9954046469301808,0.1406056830776912,-1.5845200273033921,0.071,0.099,999
