parameter,mean,sd,0.025quant,0.5quant,0.975quant,mode
Precision for shared_main,0.009551648868179413,0.001219490168283907,0.007383314644017094,0.009472398389925188,0.012176812473987914,0.009311478328347483
Precision for spatial_malaria,720.9445749423882,6018.533649778767,3.8415202688717627,73.44067595935164,4772.133115894122,7.814347873982272
Precision for spatial_scd,4007.6110160960293,65143.53058878631,3.328951692188162,114.2605094204612,20378.286672038626,5.642301703908312
Precision for iid_malaria,0.1751442776367762,0.027658098831017802,0.12668779740734734,0.17311229668972483,0.2352958918665432,0.16930791614810384
Precision for iid_scd,0.28547614455718506,0.05150963376246294,0.1972067599510569,0.28104062196946783,0.39931707126446736,0.27253002002755594
Beta for shared_scd,-0.08401005467137374,0.07578065955412404,-0.23210657670395846,-0.0843831644097212,0.06626847558757136,-0.08594181062910798
