area_index,shared_mean_adj,shared_sd_adj,shared_q025_adj,shared_q50_adj,shared_q975_adj,exceed_prob_rr_gt1_adj,hotspot_080_adj,hotspot_090_adj
1,-3.77430795934623,1.0115868468677502,-5.735315014156069,-3.79078248290204,-1.711420197494308,9.533163793307153e-5,0,0
2,-2.8382739948506064,0.846857650125204,-4.479969716360478,-2.864095917349023,-1.05027582442465,4.018227866265933e-4,0,0
3,-6.488563074490514,1.406035847257727,-9.164937014249759,-6.523160155372102,-3.6285196838328213,1.9674453294316052e-6,0,0
4,-6.8764041569084196,1.1260841469672345,-8.951773194898074,-6.931675288094413,-4.50437919673573,5.09279396432305e-10,0,0
5,-4.733037622254663,1.1115386692281235,-6.738339653760691,-4.806838327580081,-2.350712875881145,1.030880130303835e-5,0,0
6,-0.010929546837356767,2.7364916259320666,-5.392077421012844,-0.009582672515294054,5.362620416555711,0.49840662887280207,0,0
7,-0.5023435063596139,1.1599509863512445,-2.7853780849453504,-0.5033497774488949,1.7865977033766454,0.33248085203829825,0,0
8,-6.09714857155124,6.126844778790458,-18.196813957544716,-6.079312991051404,5.901711126213743,0.15983090419650847,0,0
9,-0.05199080349814339,3.5085166025988674,-6.950510688586715,-0.05096434412131738,6.8406982339446145,0.49408850719689346,0,0
10,1.52903261198955,1.1322736590174187,-0.7193704977869191,1.5343597223121417,3.7452939897421906,0.911557597483458,1,1
11,-0.1671411958349124,2.989923335799058,-6.046008846664396,-0.16628330553598555,5.706900886541078,0.47771013840571364,0,0
12,1.3930059419416416,2.1688177348524045,-2.912746028064336,1.409376888131367,5.609340574924941,0.7396569482308091,0,0
13,-1.860257044819387,2.165494744595769,-6.200129966518737,-1.8287765859427045,2.305590762285103,0.1951578941875619,0,0
14,0.07939096860403995,1.894210339376448,-3.7015363370910994,0.10110660092367528,3.7411750204452843,0.5167157484783826,0,0
15,2.0251632948145217,1.8849399769297983,-1.737985191649348,2.047323297081007,5.66759372393336,0.8586763516308513,1,0
16,2.125813460460403,2.1504849476588803,-2.1519441337088914,2.1454970242387916,6.296290625916765,0.83855280786388,1,0
17,0.9026679035265318,2.1566643905457217,-3.39701557057482,0.9256808873012374,5.075982216955835,0.6622268071606465,0,0
18,-1.9438972955195535,2.1623919205186217,-6.251948903117845,-1.922040963965183,2.2421397605451894,0.18433778967519676,0,0
19,6.2449973599503075,2.025763450552879,2.285999058990001,6.2382754452121265,10.24473750532994,0.9989746408243438,1,1
20,1.6206466582655834,2.1443520445191986,-2.6543826091408214,1.6437314042460107,5.769574954304408,0.7751078049521759,0,0
21,-3.969695163375756,2.3007563697537896,-8.593283803554923,-3.931207413490508,0.4407274361408873,0.04222887497890648,0,0
22,0.31170223394270397,1.8978972044556,-3.489711653937896,0.3388302962296039,3.964183553860424,0.5652271507569318,0,0
23,1.4759401452196124,1.8660479336638367,-2.256468369204372,1.500749974610234,5.072805252914993,0.7855117784969141,0,0
24,-5.893943685067128,2.2263915001867773,-10.384454836589098,-5.8494532818169445,-1.649305918682889,0.0040567727750601135,0,0
25,-2.9645859565245987,2.290117099502604,-7.489370065575891,-2.954186307072283,1.5008703588239105,0.09774417108836553,0,0
26,3.788254212101411,0.9191135526077059,2.088879786728005,3.7424876780812353,5.7355388563588985,0.9999811906764359,1,1
27,-3.4288629816046945,0.9706886275578572,-5.038869894016803,-3.5552221396928605,-1.251657166588752,2.0590098654515998e-4,0,0
28,-3.6707230053060522,2.0292513105222354,-7.684928414378445,-3.6598148739201433,0.2813428734029726,0.035232875494455085,0,0
29,-5.63065425880617,0.9809604126529621,-7.319827344784229,-5.726037597267245,-3.4540423237623354,4.73549510715543e-9,0,0
30,-5.749737702179561,3.065234487888532,-11.82179035264113,-5.732469995370544,0.2236746868722852,0.030342027180206177,0,0
31,-4.962473943188195,0.9597776361959188,-6.571462889402679,-5.078089891690789,-2.8051082633891946,1.1677090383521715e-7,0,0
32,-3.233030830489806,2.010201289294872,-7.2271974993486126,-3.216953665347824,0.6695585738029006,0.0538834332912681,0,0
33,-5.196358012392545,2.6977084836559038,-10.545147862842214,-5.1786981607743465,0.05176246601959278,0.027038964239427643,0,0
34,-4.747527738713274,2.760304390187746,-10.216744226381799,-4.730871061818853,0.6268349168272334,0.042722668588968116,0,0
35,-4.900520922549788,2.1683544347395913,-9.199495700279655,-4.886268860557603,-0.6829671692325441,0.011910054409712378,0,0
36,-0.9149411196071295,3.2151975460967344,-7.2410318711275465,-0.9131688193403005,5.401203707768038,0.3879877100093966,0,0
37,-1.2297847954532524,2.8965454271604814,-6.9318156451287365,-1.2272319783091699,4.457804123274748,0.3355752715477155,0,0
38,-1.1544884338079076,3.2885620247272174,-7.62597089084947,-1.1524017146529497,5.305241117894576,0.3627710007088737,0,0
39,-0.2728369016753169,1.1930526554469405,-2.572194962419038,-0.2908228209576174,2.129506712197513,0.40955568637474016,0,0
40,1.8903409431777163,1.532070013975975,-1.1384395648135082,1.8959819717721462,4.887553189297588,0.8913701548664343,1,0
