term,mean,sd,0.025quant,0.5quant,0.975quant,mode,kld
outcome_typemalaria,-1.32068754799574,0.9745392790168835,-3.2453908566801566,-1.3165757838584302,0.5805036208267351,-1.3166031672193006,6.374985050239907e-9
outcome_typescd,-1.6477370796721185,0.9720474643350382,-3.571260701244384,-1.6423211116201115,0.24486915554436783,-1.6423408120668392,9.510091470340398e-9
z_log_tpopn,-0.0027268235205901133,0.3114249754062542,-0.6133223343414586,-0.003070830077217806,0.609841518998571,-0.0030678838240006754,4.8996680204497155e-9
facility_classHC IV,-9.938809487127903,0.6856707775571355,-11.307548907696606,-9.93091468879191,-8.61523993504365,-9.930965370173505,3.410771361435103e-8
facility_classHospital,0.8558026578231425,1.225339838062574,-1.5570575451706175,0.8578662796193977,3.2568049219633233,0.8578252562376697,6.838703957642725e-9
ownership_classPFP,0.5245567808928052,1.1543132200687387,-1.7414597625116714,0.5241796081854805,2.7927474323733787,0.5241819465735048,5.30881393262083e-9
ownership_classPNFP,0.28009952853536135,0.7327211458790396,-1.1571042976096568,0.279417875732329,1.7212116716813837,0.27942566115039974,5.784254783995765e-9
ownership_classOther,9.087882792796112,3.138664054905328,2.9485260670317484,9.078450003087195,15.282673313284574,9.07895606066172,1.0661654488944457e-8
regionANKOLE,1.7473200185549442,1.3968548031878885,-0.9768149175095406,1.740587740952751,4.509882413517684,1.74061724829366,1.020170538895167e-8
regionBUGISU_SEBEI,-6.643580289440076,3.5270479856360284,-13.652376026498516,-6.6153217728757445,0.2049235512200136,-6.6152517444029355,2.072745943841435e-8
regionBUKEDI,-2.973366611835251,1.9970118324776804,-6.914828955781866,-2.966451752824119,0.9286485545381273,-2.966495974312457,7.2827542620091355e-9
regionBUNYORO,1.3550389293763985,1.6547275643425163,-1.8794520278181308,1.349591115283929,4.620663880459033,1.3496309175800518,8.063847590846786e-9
regionBUSOGA,-2.350305556554918,1.9287609064488973,-6.135716385758434,-2.3516372819434133,1.4427184735268095,-2.3516332941558344,7.363784150821889e-9
regionCENTRAL I,0.9316158536898461,1.2989349867171134,-1.601500420687696,0.9255313214519104,3.499475356861341,0.9255611738830772,8.731581071510456e-9
regionCENTRAL II,6.3660768168132655,1.1118195196514418,4.148087596776747,6.378375418605848,8.517882541581386,6.379229383051139,2.872494762718407e-8
regionGREATER KAMPALA,-0.02986350234762958,2.1479496733817793,-4.221306994892466,-0.0398895485605775,4.217338936324293,-0.04019100632742638,1.1056188806710457e-8
regionKIGEZI,-3.430439693962063,2.3701904373616314,-8.086321953648024,-3.4307221198496394,1.2273503943873054,-3.4306393061283513,7.733027424995816e-9
regionLANGO,3.486736541999822,1.4202501583511933,0.7218068445037322,3.4783152192016558,6.299790651706552,3.4783709471744193,1.2339311791601264e-8
regionTESO,3.0313728133662754,1.337173136953767,0.41289580989149943,3.0290289485331883,5.663365158736027,3.029077629002622,3.7509747376429864e-9
regionTORO,0.968690915184953,1.3194074477845015,-1.6086701331714228,0.9638556557924141,3.5737003758966965,0.9638919821572841,7.90943489916156e-9
regionWEST NILE,1.7995393775611612,1.019809336680221,-0.20133017959902588,1.7990729443654498,3.8034942282622346,1.7991902109755833,3.091820572229619e-9
regionOther,2.470486132963589,2.9468366080526263,-3.3047415636344963,2.4648311571063823,8.277886132491293,2.464837484468281,1.0564494093546855e-8
