residual_priority_rank,catchment_id,facility_name,facility_class,ownership_class,region,catchment_population,malaria_cases,scd_cases,shared_mean_adj,shared_sd_adj,shared_q025_adj,shared_q975_adj,shared_ci_width_adj,exceed_prob_rr_gt1_adj,hotspot_080_adj,hotspot_090_adj,robust_hotspot_005_adj,robust_hotspot_010_adj,hotspot_class_005_adj,hotspot_class_010_adj,stability_score,stability_class,uncertainty_class,residual_hotspot_confidence,residual_typology,residual_priority_score,rr_malaria_adj,rr_scd_adj
48,HF2329,Nebbi Hospital,General hospital,Government,WEST NILE,32747,14033,580,0.28804931653548965,0.5901282267207668,-0.8508081889622182,1.5110277897446176,2.3618359787068357,0.6872651327287334,0,0,0,0,Not hotspot,Not hotspot,2,Borderline stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.5643172934332709,0.001602349826087698,0.006137275934626812
49,HF3019,Kiryandongo HOSPITAL,General hospital,Government,BUNYORO,45503,11157,727,0.8242277413145249,1.5345276670538408,-2.1790226682735137,3.8525669215787115,6.031589589852225,0.7044081409985393,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.5632471940503513,6.598235112653797e-4,0.003988341516898505
50,HF1856,Patongo HC III,HC IV,Government,ACHOLI,13211,0,0,4.645020245011209,1.2567020304661893,2.1949509618581047,7.128237819400157,4.933286857542052,0.9998905740874378,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Low uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.5514448390959561,7.43204978586468e-7,3.253240085208906e-5
51,HF3109,Masindi HOSPITAL,General hospital,Government,BUNYORO,26630,4401,661,1.1337654763174774,1.479705267500657,-1.7773886327595112,4.038857683925572,5.816246316685083,0.7782244215918676,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.5424914927635414,7.600105177068346e-4,0.010584125231416951
52,HF1234,Buwenge NGO Hospital,General hospital,PNFP,BUSOGA,43021,2139,78,2.125281533956765,1.8144296574728298,-1.3948949025103956,5.739353550439594,7.13424845294999,0.879265331764094,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.5412115066914377,1.4152980711519043e-4,4.8287314077619803e-4
53,HF1999,Rhino Camp HC IV,HC IV,Government,WEST NILE,16857,0,0,2.200659397106216,0.81976278930083,0.4032913292732949,3.6600005903942368,3.2567092611209416,0.9963681628644095,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Low uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.5378906793612389,3.592252624448277e-7,6.9418240994865015e-6
54,HF1532,Cure Children's Hospital,General hospital,PNFP,BUGISU_SEBEI,23806,760,5,4.578507916673164,3.4138497801555667,-1.960989361108573,11.45264067230187,13.413630033410442,0.9100652288327564,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,High uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.5311573990819322,0.00016416691786011694,1.2373211796530602e-4
55,HF3331,St. Karolii Lwanga Nyakibale HOSPITAL,General hospital,PNFP,KIGEZI,5154,828,4,2.794685326839694,2.3001787698310494,-1.6989617508984272,7.3426593982466155,9.041621149145042,0.8878143113411414,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Moderate uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.5297512490333485,0.003815863803884069,0.002200404574534287
56,HF0282,Mengo HOSPITAL,General hospital,PNFP,GREATER KAMPALA,46581,1861,724,1.4759401452196124,1.8660479336638367,-2.256468369204372,5.072805252914993,7.329273622119365,0.7855117784969141,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.5261295368638192,1.0507036386689154e-4,0.0037858643786768042
57,HF1250,Kakira Worker's HOSPITAL,General hospital,PFP,BUSOGA,38980,3224,54,1.7411016591917907,1.9262454086852174,-2.0037969684527233,5.570316625843697,7.574113594296421,0.816971440306267,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.5237082824122664,2.5981360047961207e-4,4.1069424110278647e-4
58,HF2028,Gulu  Military Hospital,General hospital,Government,ACHOLI,8613,1821,39,0.9465068390103683,1.16953686924446,-1.3317400051962989,3.271415621730549,4.603155626926847,0.7908288568605897,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.5129296026627633,0.0030058361524710826,0.006053034874825344
59,HF0118,Kololo HOSPITAL,General hospital,PFP,GREATER KAMPALA,35945,2628,711,1.3930059419416416,2.1688177348524045,-2.912746028064336,5.609340574924941,8.522086602989276,0.7396569482308091,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.5109637778337202,2.4912307513868024e-4,0.006241988284656736
60,HF1785,Adjumani   HOSPITAL,General hospital,Government,WEST NILE,39520,13988,328,-0.029118254602844295,0.8532027594522315,-1.5617447375422056,1.832238859195323,3.3939835967375283,0.4863874698737519,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.5082701785175688,0.0010966600598415767,0.0023899516956085044
61,HF1769,Abim HOSPITAL,General hospital,Government,Other,3752,3938,556,1.7903196313511616,2.7914614271437572,-3.672971947441158,7.311490106091921,10.984462053533079,0.7393541882471282,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Moderate uncertainty,Not residual hotspot,No strong residual signal,0.5067154773095549,0.03425829949596133,0.44853049295369923
62,HF1130,Kabasa Memorial HOSPITAL,General hospital,PNFP,BUKEDI,31671,1852,11,1.5344986218473526,1.8565857248852868,-2.0682484514478636,5.230186449533042,7.298434900980905,0.7957444016147203,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.5064641576728807,2.2605756034059296e-4,1.4104205754064943e-4
63,HF1726,Mulanda HC IV,HC IV,Government,BUKEDI,10796,0,0,4.274539830849896,2.697137738580602,-0.9619710423679662,9.640305638927476,10.602276681295443,0.9434989936368137,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Moderate uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.5061386510364696,1.6691949981505924e-6,9.269743832397364e-6
64,HF1734,Nagongera HC IV,HC IV,Government,BUKEDI,26861,0,0,4.063003922026077,2.6223505917014784,-1.027045428595792,9.278674234432973,10.305719663028764,0.9393541759400581,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Moderate uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.5044638630254713,1.8064884099473352e-7,1.3399458237511983e-6
65,HF0998,Budaka HC IV,HC IV,Government,BUKEDI,41002,0,0,4.254527579510947,2.7747358143048686,-1.14122323231601,9.75964671625167,10.90086994856768,0.9374001390414487,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Moderate uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.5027792131895066,1.0381323611917456e-7,1.649312589396954e-6
66,HF0263,Butabika NATIONAL REFERAL HOSPITAL,Hospital,Government,GREATER KAMPALA,10779,299,373,1.6206466582655834,2.1443520445191986,-2.6543826091408214,5.769574954304408,8.42395756344523,0.7751078049521759,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.497592775442783,3.164337159749729e-4,0.036398245204959566
67,HF1583,Nsinze HC IV,HC IV,Government,BUSOGA,52652,0,0,3.4266366687963727,2.4426793732004137,-1.3382535210726885,8.259555633834683,9.597809154907372,0.9196645677380776,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Moderate uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.49646255068228035,5.712003598558259e-8,8.31816214140869e-7
68,HF2705,Kabale REGIONAL REF HOSPITAL,Hospital,Government,KIGEZI,36682,1268,34,1.9465893996573134,2.434119848048164,-2.8285184184812984,6.744233563648085,9.572751982129382,0.788060511598855,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Moderate uncertainty,Not residual hotspot,No strong residual signal,0.4943318249719745,1.153981443027478e-4,2.9410360090992386e-4
69,HF3149,Ruharo Mission HOSPITAL,General hospital,PNFP,ANKOLE,5362,189,295,0.8709828702709084,1.3120269551977446,-1.7724277522912466,3.3967564962511037,5.169184248542351,0.7466053215461832,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.49421663836488944,8.10508981675134e-4,0.1162595987693038
70,HF3308,Kisiizi NGO HOSPITAL,General hospital,PNFP,KIGEZI,26761,672,9,1.703106672207222,2.137551041657718,-2.4903360753545067,5.917160334830309,8.407496410184816,0.7872036305834065,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.4925571811591337,1.148938374609612e-4,1.59546072826106e-4
71,HF2205,Ayira Health Services,HC IV,PFP,LANGO,28991,180,0,1.923979893565935,1.5949182215003523,-1.1824272151416169,5.080464903354456,6.262892118496073,0.8861527113216694,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Low uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.4900899225182791,2.6168729246288926e-5,1.5738114960591767e-5
72,HF1647,Budadiri HC IV,HC IV,Government,BUGISU_SEBEI,35229,0,0,5.1890099029663235,3.696553151730309,-1.9501888647964742,12.581669574122097,14.531858438918572,0.9198022750224714,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,High uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.4890049687880509,5.221498092160138e-7,1.7175797999686207e-6
73,HF2708,Rugarama HOSPITAL,General hospital,PNFP,KIGEZI,10418,0,19,2.29568023918797,2.2889272781745094,-2.234674101110647,6.773981509229925,9.008655610340572,0.8420575727655796,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,2,Borderline stable,Low uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.4871684304678769,2.1366507002999993e-6,0.0018940546178171592
74,HF1722,Mukuju HC IV,HC IV,Government,BUKEDI,20993,0,0,3.512622456327941,2.7158268378738266,-1.7635048711061176,8.91123511847202,10.674739989578137,0.9020618444788883,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Moderate uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.4870883626647186,3.227297949153698e-7,1.5344590100380121e-6
75,HF1492,Bubulo HC IV,HC IV,Government,BUGISU_SEBEI,28252,0,0,4.989315542690683,3.7253901669402,-2.202903695284168,12.441883006255914,14.644786701540081,0.9097591395070759,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,High uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.483836226244035,5.182104354414546e-7,1.496664448708803e-6
76,HF2145,Koboko Hospital,General hospital,Government,WEST NILE,44637,2628,711,0.1822270513706941,0.7559582310610192,-1.3096140688355467,1.7710144441756195,3.080628513011166,0.5952435195703718,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.482488438189528,1.6155322592710446e-4,0.004051575977433568
77,HF0560,Ssekanyonyi HC IV,HC IV,Government,CENTRAL II,10014,2444,0,0.707382103997501,1.2033254007891578,-1.5702613915368675,3.168931087121254,4.739192478658121,0.7216855371074682,0,0,0,0,Not hotspot,Not hotspot,3,Borderline stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.48242378929263524,0.002982680758880749,1.3207641164432587e-4
78,HF1312,Kamuli HOSPITAL,General hospital,Government,BUSOGA,38659,1382,17,1.101398560775193,1.781828851939348,-2.355543799393427,4.6497274085539395,7.0052712079473665,0.7317545641498429,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.4821232183797787,1.1322187279407075e-4,1.357431276913521e-4
79,HF2874,Kilembe HOSPITAL,General hospital,PNFP,TORO,10419,2844,100,0.47566858481305724,1.098763747746099,-1.675725416258873,2.653449421890169,4.329174838149042,0.6674608386064041,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.4819741134547289,0.0032081876766693693,0.010525096887558085
80,HF1483,Bugobero HC IV,HC IV,Government,BUGISU_SEBEI,35867,0,0,6.11440798611304,4.456445783800828,-2.4977141535374807,15.018269163243978,17.51598331678146,0.9149740219998028,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,High uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.4818340431546792,1.55242488460404e-6,9.953004205692538e-6
81,HF1165,Busesa HC IV,HC IV,Government,BUSOGA,28965,0,0,3.450964736973158,2.82825243804454,-2.0734481140345844,9.04191352258086,11.115361636615443,0.8888008509018551,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Moderate uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.48062401235692265,2.5233968828380546e-7,2.6758181869235962e-6
82,HF1533,Namatala HC IV,HC IV,Government,BUGISU_SEBEI,56800,0,0,3.869000280763859,3.110011376121451,-2.1436927104928305,10.081694851150118,12.225387561642949,0.8932588647946026,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Moderate uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.4804580626998512,1.7247248022351403e-7,4.566288953989898e-7
83,HF1547,Buyinja  HC IV,HC IV,Government,BUSOGA,63519,0,0,3.0110940824273906,2.539067623565757,-1.9448104474431571,8.033217152412844,9.978027599856,0.8821701757605593,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Moderate uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.48008847348728223,3.930017190770129e-8,4.622300718216063e-7
84,HF1524,Bufumbo HC IV,HC IV,Government,BUGISU_SEBEI,29019,0,0,4.708280040134317,3.6641983757651047,-2.3760472426195305,12.029194261153869,14.4052415037734,0.900593611620731,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,High uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.47984235324709157,1.2446181499320278e-6,3.6995478991965647e-6
85,HF0252,Kadic HOSPITAL,General hospital,PFP,GREATER KAMPALA,28974,3771,273,0.9026679035265318,2.1566643905457217,-3.39701557057482,5.075982216955835,8.472997787530655,0.6622268071606465,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.4770590243396253,5.500794687073797e-4,0.003692450164731474
86,HF1530,Busiu HC IV,HC IV,Government,BUGISU_SEBEI,29079,0,0,3.7185691496569584,3.1695502479471633,-2.420827731926952,10.040186202426394,12.461013934353346,0.8796455332380485,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Moderate uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.47408509518002895,1.5397615652646132e-6,4.229581088989493e-6
87,HF2481,Buliisa Hospital,General hospital,Government,BUNYORO,12101,1665,206,0.7859043038678607,1.6888436270523484,-2.522396206844499,4.116983503151884,6.639379709996383,0.6791597784141159,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.4734123990804535,0.0013927716963818264,0.01599446882711012
88,HF1092,Muyembe HC IV,HC IV,Government,BUGISU_SEBEI,45814,0,0,4.493996493616409,3.7085296685751343,-2.6881614474593682,11.8931788832643,14.581340330723668,0.8872055382901222,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,High uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.4732772130438405,4.926354694301287e-7,1.5478429827423955e-6
89,HF1667,Buwasa HC IV,HC IV,Government,BUGISU_SEBEI,25438,0,0,3.906720357726192,3.422175821007333,-2.727046179476129,10.727334794176151,13.454380973652281,0.8731876774072798,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,High uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.46925873569607124,1.007037370524838e-6,2.7740501990935964e-6
90,HF2891,Kagando HOSPITAL,General hospital,PNFP,TORO,53557,5434,387,0.1253148681052004,1.112655030809669,-2.065883440074854,2.3178005100507484,4.383683950125603,0.5448368144971751,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.46840740164099415,2.3198917364881683e-4,0.0015333823572079256
91,HF1600,Butebo HC IV,HC IV,Government,BUKEDI,44898,0,0,2.719437670400943,2.6062339370303422,-2.34568613458989,7.900293720068199,10.245979854658088,0.8516267390091676,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Moderate uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.467336370536225,1.2925473727140688e-7,7.532518966914059e-7
92,HF2099,Kaabong HOSPITAL,General hospital,Government,Other,7239,5434,387,0.8881767570571961,2.869039872475749,-4.728862294425141,6.559952968819961,11.288815263245102,0.6215570850554363,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Moderate uncertainty,Not residual hotspot,No strong residual signal,0.4668358556656579,0.012698231482232019,0.08393180931468092
93,HF1405,Kibuku HC IV,HC IV,Government,BUKEDI,32289,0,0,3.552261443933728,3.239297491468344,-2.7588405138249814,9.97265813210068,12.731498645925662,0.8635950839383199,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Moderate uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.4666703995015894,6.743816736333587e-7,8.287300413806092e-6
94,HF1438,Kaproron HC IV,HC IV,Government,BUGISU_SEBEI,2355,0,0,7.39491979743595,5.747835146010866,-3.749393880641347,18.84511656950335,22.594510450144696,0.9008756986956638,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,High uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.4654676271602733,0.029675026661643098,0.16213448916136222
95,HF1322,Nankandulo HC IV,HC IV,Government,BUSOGA,35682,0,0,2.801877619937744,2.7742148567728675,-2.6219417131211453,8.284761365497117,10.906703078618262,0.8437455000175447,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Moderate uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.4626987002484631,2.1235703271936071e-7,1.6598399647055118e-6
96,HF1515,Kigandalo HC IV,HC IV,Government,BUSOGA,40545,0,0,2.7798038804881355,2.769915700233498,-2.630734135530456,8.257564756399564,10.88829889193002,0.8422070031580386,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Moderate uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.4621305077051305,1.1151519638535826e-7,8.132325892296062e-7
97,HF1063,Nankoma HC IV,HC IV,Government,BUSOGA,42335,0,0,2.9442395015052436,2.920331163147705,-2.763257538641972,8.714042964653911,11.477300503295883,0.843317617268847,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,Moderate uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.46117624864162254,1.3948919946156773e-7,1.4225003060584575e-6
98,HF1276,Lwala HOSPITAL,General hospital,PNFP,TESO,20124,6090,864,-0.12547139213921873,1.2302851143876625,-2.5553547708565243,2.2857364404905582,4.8410912113470825,0.459384043935289,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.458535454273433,0.0018415473508494337,0.02423060051795812
99,HF2594,Ibanda HOSPITAL,General hospital,PNFP,ANKOLE,9482,4306,137,0.1949078921307925,1.2743783611389203,-2.2924059961014844,2.7283028917835592,5.020708887885044,0.5607785859295691,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.45535182662871715,0.00586470961060077,0.017383296298801563
100,HF2843,Kanungu HC IV,HC IV,Government,KIGEZI,27369,0,0,3.4606761571264384,3.6484265120829926,-3.7030942034071366,10.642309660216034,14.34540386362317,0.8285725280034663,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,High uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.448212982426188,1.3931300576046148e-6,8.235145685116114e-6
101,HF1180,Bugono HC IV,HC IV,Government,BUSOGA,21313,0,0,3.14399668935493,3.4244172292345865,-3.5522876955322054,9.903506205863184,13.45579390139539,0.8207197411607765,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,0,Unstable / weak evidence,High uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.4471817859835241,1.716078083789753e-6,1.8282096804689003e-5
102,HF3085,Kyenjojo Hospital,General hospital,Government,TORO,84598,10855,217,-0.3871240277570742,1.2583020116054207,-2.827321381068237,2.1281252621183064,4.955446643186543,0.37917209292742815,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.4418693473455585,1.8572037064626789e-4,3.454631872361695e-4
103,HF0281,Lubaga HOSPITAL,General hospital,PNFP,GREATER KAMPALA,94308,1030,383,0.31170223394270397,1.8978972044556,-3.489711653937896,3.964183553860424,7.45389520779832,0.5652271507569318,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.43327184350861503,1.419312954897516e-5,4.888879234420386e-4
104,HF0465,Lyantonde HOSPITAL,General hospital,Government,CENTRAL I,25852,7898,65,-0.2728369016753169,1.1930526554469405,-2.572194962419038,2.129506712197513,4.701701674616551,0.40955568637474016,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.4287302853301285,0.001446994740581638,0.0011210978110682828
105,HF1340,Namwendwa HC IV,HC IV,Government,BUSOGA,39080,0,0,2.213927843703238,3.1479463144056736,-3.9376566613100263,8.436957006148655,12.37461366745868,0.7590633383540331,0,0,0,0,Not hotspot,Not hotspot,0,Unstable / weak evidence,Moderate uncertainty,Not residual hotspot,No strong residual signal,0.42586781048658984,2.4693193631922844e-7,1.508504917361095e-6
106,HF1281,Bumanya HC IV,HC IV,Government,BUSOGA,43229,0,0,2.4913628686707177,3.508798609137704,-4.372690032327606,9.413711606770084,13.78640163909769,0.7611581695964732,0,0,0,0,Not hotspot,Not hotspot,0,Unstable / weak evidence,High uncertainty,Not residual hotspot,No strong residual signal,0.4224412364551499,5.178726595181985e-7,6.242297435584727e-6
107,HF1629,Apapai HC IV,HC IV,Government,TESO,6620,0,0,0.8329891085500034,1.723602556107729,-2.55102177562816,4.219149993482964,6.7701717691111245,0.685552862076058,0,0,0,0,Not hotspot,Not hotspot,0,Unstable / weak evidence,Low uncertainty,Not residual hotspot,No strong residual signal,0.4174604428906097,3.123923480198797e-6,6.996058056057771e-5
108,HF1065,Bukedea HC IV,HC IV,Government,TESO,22892,0,0,0.8940537748309896,1.8732048524219527,-2.7830298345218565,4.57243239134267,7.355462225864526,0.6834206320671306,0,0,0,0,Not hotspot,Not hotspot,0,Unstable / weak evidence,Low uncertainty,Not residual hotspot,No strong residual signal,0.41469418494566124,2.517608024892755e-7,1.0758030534627467e-5
109,HF0505,Kiyumba HC IV,HC IV,Government,CENTRAL I,8760,0,0,1.4105880524123047,2.6849355015536958,-3.863911789408768,6.68527658893759,10.549188378346358,0.7003374492986523,0,0,0,0,Not hotspot,Not hotspot,0,Unstable / weak evidence,Moderate uncertainty,Not residual hotspot,No strong residual signal,0.40975957492108117,5.0299179117540315e-6,7.719907346740026e-5
110,HF0203,Kibuli HOSPITAL,General hospital,PNFP,GREATER KAMPALA,7544,1382,17,0.07939096860403995,1.894210339376448,-3.7015363370910994,3.7411750204452843,7.442711357536384,0.5167157484783826,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.40719751363321216,0.0029731344884666245,0.0035665452304758055
111,HF2791,Kida HOSPITAL,General hospital,PNFP,TORO,8402,3771,31,-0.2205167894652722,1.0774916100380807,-2.30595937139878,1.9383626630735191,4.244322034472299,0.41891984556036277,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.40585383275372106,0.006540607016694985,0.005167019370721721
112,HF3330,North Kigezi HC IV,HC IV,PNFP,KIGEZI,15918,0,0,2.5181369866292806,4.044692653025531,-5.434397052164848,10.474202267080095,15.908599319244942,0.7332190903257775,0,0,0,0,Not hotspot,Not hotspot,0,Unstable / weak evidence,High uncertainty,Not residual hotspot,No strong residual signal,0.4048568989276259,2.592689597817243e-5,9.542419090278753e-5
113,HF1965,Arua REGIONAL REF HOSPITAL,Hospital,Government,WEST NILE,65633,7301,802,-0.7620052171083714,1.2922748827307546,-3.301597449742181,1.787611241728237,5.089208691470418,0.2777086834606338,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.4035927939296534,2.0754698767920068e-4,0.0021144992656621556
114,HF0588,Nkozi HOSPITAL,General hospital,PNFP,CENTRAL I,27583,1071,157,-0.187240614404055,1.1826412379523592,-2.541550982274097,2.120688614489837,4.662239596763934,0.43710070770021026,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.3961672324316798,1.7246865782674528e-4,0.0023477370359423484
115,HF0777,Kalisizo HOSPITAL,General hospital,Government,CENTRAL I,33538,444,149,-0.15712309913981648,1.1519174333373385,-2.4491553840614535,2.091247769049751,4.540403153111205,0.44575200114580726,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.39518212375399336,4.84379726686957e-5,0.0015060382998865792
116,HF2927,Kagadi HOSPITAL,General hospital,Government,BUNYORO,103509,5434,387,-0.6198448024261866,1.4786813046907918,-3.5258816442729994,2.286032587451201,5.8119142317242005,0.33753953286667926,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.3936295240995961,6.210818429417035e-5,4.102996020884914e-4
117,HF1475,Kiyunga HC IV,HC IV,Government,BUSOGA,47838,0,0,2.0854603495587734,3.979324885579098,-5.7061532280800655,9.93145099843717,15.637604226517235,0.6998864327189847,0,0,0,0,Not hotspot,Not hotspot,0,Unstable / weak evidence,High uncertainty,Not residual hotspot,No strong residual signal,0.39243435078667577,1.940574079380208e-6,2.5968543387585043e-5
118,HF1903,Atiak HC IV,HC IV,Government,ACHOLI,5663,0,0,1.3994463536440878,3.2732753536261465,-5.031778120716109,7.830941559882641,12.862719680598751,0.6655058823666582,0,0,0,0,Not hotspot,Not hotspot,0,Unstable / weak evidence,Moderate uncertainty,Not residual hotspot,No strong residual signal,0.3888721963910206,5.340786099020214e-5,3.0316526224511266e-4
