pairing,x_var,y_var,observed_ib,mean_perm,sd_perm,z_score,p_value_upper,p_value_two_sided,nsim
cases,malaria_cases,scd_cases,-0.07681734215134771,-0.00200713251915085,0.039801741936071056,-1.879571244704713,0.989,0.046,999
deaths,malaria_deaths,scd_deaths,-0.036231890183112105,0.0013336103943505215,0.03429345691795356,-1.0954130599121976,0.904,0.229,999
