parameter,mean,sd,0.025quant,0.5quant,0.975quant,mode
Precision for shared_main,0.02370971063780337,0.002940014649549238,0.018497758725093932,0.023513297301667287,0.03005576775318607,0.02309474846847797
Phi for shared_main,0.03938390298406435,0.04312743588795121,0.0019008473921080082,0.024931871780941212,0.1587188198622664,0.004727592766992502
Precision for het_malaria,0.3197356904674251,0.05213199801234197,0.22804501207240538,0.3160269920022694,0.43270514257316633,0.30952209127159097
Precision for het_scd,71.76203857209033,131.43558504178722,4.317489844668369,35.10749200824719,371.97481522331236,10.828981879694467
Beta for shared_scd,0.0060131798371405865,0.06280617242046692,-0.11499952215901958,0.005129951820252215,0.13226875189051446,0.0013405490465773608
