priority_rank,catchment_id,catchment_population,malaria_cases,scd_cases,shared_mean_step5,shared_sd_step5,exceed_prob_step5,stability_score,stability_class,prioritisation_score,final_typology_005,final_typology_010
37,HF0281,94308,1030,383,3.576143448211773,1.4480509255186156,0.993237271139012,4,Moderately stable,0.6306946489129863,Bayesian-only shared hotspot,Bayesian-only shared hotspot
38,HF1113,54227,3938,556,4.785121285461132,1.5204856380588616,0.9991755089562521,4,Moderately stable,0.6289666765472237,Bayesian-only shared hotspot,Bayesian-only shared hotspot
39,HF3109,26630,4401,661,5.985483293863428,1.5187124250722666,0.9999594551461451,4,Moderately stable,0.6187792650996623,Bayesian-only shared hotspot,Bayesian-only shared hotspot
40,HF2145,44637,2628,711,5.044705592020446,1.549922908822335,0.9994326600537132,4,Moderately stable,0.6185038165805852,Bayesian-only shared hotspot,Bayesian-only shared hotspot
41,HF0718,14181,9051,173,5.455269008407729,1.5321883202613074,0.999814885084816,4,Moderately stable,0.6177115115963793,Bayesian-only shared hotspot,Bayesian-only shared hotspot
42,HF0282,46581,1861,724,4.915050985424771,1.4530328947462885,0.9996410040589478,4,Moderately stable,0.614838201952407,Bayesian-only shared hotspot,Bayesian-only shared hotspot
44,HF0465,25852,7898,65,4.9079472154586545,1.5633304062289337,0.9991535803327819,4,Moderately stable,0.6132612878859398,Bayesian-only shared hotspot,Bayesian-only shared hotspot
45,HF0975,8327,7821,192,6.142325029211957,1.5828785493166833,0.9999478742639618,4,Moderately stable,0.6099092144582954,Bayesian-only shared hotspot,Bayesian-only shared hotspot
46,HF1970,48979,1847,556,4.698035504272959,1.5468957195116684,0.9988055627451056,4,Moderately stable,0.6096004070299519,Bayesian-only shared hotspot,Bayesian-only shared hotspot
47,HF0118,35945,2628,711,4.86315923745896,1.4371675212976238,0.9996426147213245,4,Moderately stable,0.6091308802487208,Bayesian-only shared hotspot,Bayesian-only shared hotspot
48,HF3034,23176,2628,711,6.388949554160315,1.497640966828605,0.9999900499536192,4,Moderately stable,0.6085528679124264,Bayesian-only shared hotspot,Bayesian-only shared hotspot
49,HF0002,20563,2943,720,6.240170521435839,1.5230291619330707,0.999979092035941,4,Moderately stable,0.6073748181162476,Bayesian-only shared hotspot,Bayesian-only shared hotspot
50,HF2099,7239,5434,387,7.137646084770914,1.5944285551710653,0.9999962082453885,4,Moderately stable,0.6069693524998343,Bayesian-only shared hotspot,Bayesian-only shared hotspot
51,HF1617,54737,810,579,4.440673358278312,1.5516859562822558,0.9978940373031532,4,Moderately stable,0.6067216663610362,Bayesian-only shared hotspot,Bayesian-only shared hotspot
52,HF0362,28783,6308,148,4.608081005477177,1.5226879861505873,0.9987620875859216,4,Moderately stable,0.6059538214830055,Bayesian-only shared hotspot,Bayesian-only shared hotspot
53,HF1769,3752,3938,556,7.900338303926177,1.6004303895299254,0.9999996020774703,4,Moderately stable,0.605051378435956,Bayesian-only shared hotspot,Bayesian-only shared hotspot
54,HF1015,71146,1665,206,3.4819865058949415,1.5476409248832559,0.9877713106969731,4,Moderately stable,0.6048430325108489,Bayesian-only shared hotspot,Bayesian-only shared hotspot
55,HF0008,20547,8130,26,4.31078801057761,1.5071014643034955,0.9978839116622791,4,Moderately stable,0.6037199837891507,Bayesian-only shared hotspot,Bayesian-only shared hotspot
56,HF2836,13918,6342,142,6.123446020715148,1.601029248915087,0.9999345325388269,4,Moderately stable,0.6036582925509405,Bayesian-only shared hotspot,Bayesian-only shared hotspot
57,HF1934,21637,2482,737,5.807634234378368,1.5817358919127245,0.9998795212086218,4,Moderately stable,0.602698425574774,Bayesian-only shared hotspot,Bayesian-only shared hotspot
58,HF0007,9446,2628,711,6.90714422599927,1.5290134417114059,0.9999968696172667,4,Moderately stable,0.5995513578472139,Bayesian-only shared hotspot,Bayesian-only shared hotspot
60,HF2376,20273,1861,724,6.017660660220691,1.5874347393885777,0.9999249210668942,4,Moderately stable,0.5984917022068669,Bayesian-only shared hotspot,Bayesian-only shared hotspot
