metric,value
Catchments in top quintile of crude malaria rate,56
Catchments in top quintile of crude SCD rate,56
Catchments classified High-High in local co-cluster map,35
Catchments in top quintile of joint crude burden,56
Catchments with Bayesian hotspot threshold > 0.80,NA
Catchments with Bayesian hotspot threshold > 0.90,NA
